Rk,Player,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Amadou Sow,28,28,29.7,6.4,11.4,0.564,6.1,10.2,0.594,0.4,1.2,0.303,2.4,3.2,0.764,3,5.4,8.4,0.7,0.8,0.8,2,2.5,15.6,amadou-sow-1
2,Ajay Mitchell,27,23,32.1,4.1,7.8,0.531,3.6,6,0.593,0.6,1.8,0.327,2.7,3.6,0.75,0.1,2.1,2.2,3.7,0.8,0.2,1.8,2.9,11.6,ajay-mitchell-1
3,Miles Norris,28,28,29.4,3.6,8.1,0.447,2.3,4.4,0.525,1.3,3.7,0.356,1.8,2.3,0.794,1.4,4.2,5.6,1.3,0.8,0.6,1.7,1.8,10.3,miles-norris-1
4,Ajare Sanni,22,17,26.5,3.2,9.1,0.353,1.9,5,0.382,1.3,4.1,0.319,2.4,3,0.791,0.3,2.4,2.7,2.9,1,0,1.4,1.9,10.2,ajare-sanni-1
5,Josh Pierre-Louis,26,24,25.5,3.4,6.2,0.55,3.2,5.1,0.629,0.2,1.1,0.179,1.8,3.2,0.573,1,3.1,4.1,3.1,1.2,0,2.5,2,8.8,josh-pierre-louis-1
6,Calvin Wishart,26,17,27.5,2.1,4.9,0.43,1.2,2.4,0.492,0.9,2.5,0.369,1.8,2.3,0.787,0.1,2.8,2.9,2.8,1.2,0.2,1.6,2.3,7,calvin-wishart-1
7,Robinson Idehen,27,0,14.9,2.2,3.5,0.638,2.2,3.5,0.638,0,0,,1,2,0.509,1.3,2,3.3,0.2,0.3,0.9,1,2.1,5.4,robinson-idehen-1
8,Cole Anderson,27,0,10.5,1.4,3.1,0.446,0.5,1,0.538,0.9,2.1,0.404,0.5,0.6,0.875,0.1,0.6,0.7,0.3,0.2,0,0.2,0.8,4.1,cole-anderson-1
9,Sekou Toure,28,3,10.8,1,2,0.482,0.9,1.5,0.61,0.1,0.5,0.133,0.5,1,0.519,0.5,1.9,2.5,0.8,0.2,0.1,0.7,1.3,2.5,sekou-toure-1
10,Jakov Kukic,9,0,4,0.8,1.3,0.583,0.7,1.1,0.6,0.1,0.2,0.5,0.8,1,0.778,0.7,0.6,1.2,0.6,0.1,0,0.7,0.3,2.4,jakov-kukic-1
11,Ariel Bland,8,0,4.8,0.6,1,0.625,0.6,1,0.625,0,0,,0,0.3,0,0.8,0.4,1.1,0.3,0,0.3,0.3,0.5,1.3,ariel-bland-1
12,Jay Nagle,23,0,7.1,0.4,1.1,0.36,0.2,0.5,0.417,0.2,0.6,0.308,0.2,0.3,0.667,0.2,0.8,1,0.8,0.2,0.1,0.1,0.3,1.1,jay-nagle-2
13,David Pickles,2,0,1.5,0.5,1,0.5,0.5,1,0.5,0,0,,0,0,,0,0,0,0,0,0,0.5,0.5,1,david-pickles-1
14,Max Sheldon,2,0,2.5,0.5,0.5,1,0.5,0.5,1,0,0,,0,0,,0.5,0,0.5,0,0,0,0,0,1,max-sheldon-1
15,Gage Gomez,4,0,2.8,0.3,0.3,1,0,0,,0.3,0.3,1,0,0,,0,0.8,0.8,0.5,0,0,0,0,0.8,gage-gomez-1